Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Amroha,2,GEN,Uttar Pradesh [2000 Onwards],Harish Nagpal,Independent,"13,42,541","8,85,155",65.90%,"17,884",2.00%,2004
Anakapalli,6,GEN,Andhra Pradesh,Chalapathirao Pappala,Telugu Desam,"10,23,113","7,81,746",76.40%,"15,414",2.00%,2004
Anand,20,GEN,Gujarat,Solanki Bharatsinh Madhavsinh,Indian National Congress,"11,45,550","5,91,698",51.70%,"61,085",10.30%,2004
Anantapur,25,GEN,Andhra Pradesh,Anantha Venkata Rami Reddy,Indian National Congress,"12,80,923","8,73,370",68.20%,"73,404",8.40%,2004
Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,"9,98,905","1,46,632",14.70%,"38,938",26.60%,2004
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,"2,41,645","1,53,804",63.70%,"30,500",19.80%,2004
Aonla,7,GEN,Uttar Pradesh [2000 Onwards],Kunwar Sarvraj Singh,Janata Dal (United),"11,45,865","5,36,458",46.80%,"6,871",1.30%,2004
Arakkonam,6,SC,Tamil Nadu,"Velu, R.",Pattali Makkal Katchi,"11,60,259","7,73,529",66.70%,"1,02,196",13.20%,2004
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),"11,87,610","9,61,186",80.90%,"5,92,502",61.60%,2004
Araria,22,GEN,Bihar [2000 Onwards],Sukdeo Paswan,Bharatiya Janta Party,"11,84,962","6,52,439",55.10%,"27,744",4.30%,2004
Arrah,33,GEN,Bihar [2000 Onwards],Kanti Singh,Rashtriya Janata Dal,"13,60,794","7,87,780",57.90%,"1,49,743",19.00%,2004
Arunachal East,2,GEN,Arunachal Pradesh,Tapir Gao,Bharatiya Janta Party,"2,89,606","1,62,704",56.20%,"44,994",27.70%,2004
Arunachal West,1,GEN,Arunachal Pradesh,Kiren Rijiju,Bharatiya Janta Party,"3,94,428","2,20,618",55.90%,"47,424",21.50%,2004
Asansol,38,SC,West Bengal,Bikash Chowdhury,Communist Party Of India (MARXIST),"10,92,141","7,24,790",66.40%,"1,24,318",17.20%,2004
Aska,10,GEN,Orissa,Hari Har Swain,Biju Janata Dal,"12,54,942","6,82,598",54.40%,"1,32,602",19.40%,2004
Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,"16,36,117","9,11,532",55.70%,"1,21,923",13.40%,2004
Aurangabad,37,GEN,Bihar [2000 Onwards],Nikhil Kumar,Indian National Congress,"14,01,973","7,67,159",54.70%,"7,460",1.00%,2004
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,"5,79,284","4,01,612",69.30%,"24,129",6.00%,2004
Azamgarh,41,SC,Uttar Pradesh [2000 Onwards],Ramakant Yadav,Bahujan Samaj Party,"14,25,023","7,11,356",49.90%,"6,968",1.00%,2004
Badagara,3,GEN,Kerala,P. Satheedevi,Communist Party Of India (MARXIST),"10,92,826","8,26,054",75.60%,"1,30,589",15.80%,2004
Bagaha,1,GEN,Bihar [2000 Onwards],Kailash Baitha,Janata Dal (United),"11,60,275","5,70,814",49.20%,"65,375",11.50%,2004
Bagalkot,27,GEN,Karnataka,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janta Party,"13,24,829","8,66,238",65.40%,"1,67,383",19.30%,2004
Baghpat,77,GEN,Uttar Pradesh [2000 Onwards],Ajit Singh,Rashtriya Lok Dal,"15,70,374","6,56,864",41.80%,"2,20,638",33.60%,2004
Bahraich,27,SC,Uttar Pradesh [2000 Onwards],Rubab Sayeda,Samajwadi Party,"14,23,646","5,49,535",38.60%,"26,334",4.80%,2004
Balaghat,12,ST,Madhya Pradesh [2000 Onwards],Gauri Shankar Chaturbhuj Bisen,Bharatiya Janta Party,"10,00,341","6,08,869",60.90%,"88,089",14.50%,2004
Balasore,2,ST,Orissa,Mahamegha Bahan Aira Kharbela Swain,Bharatiya Janta Party,"13,30,406","9,48,450",71.30%,"2,36,955",25.00%,2004
Balia,19,GEN,Bihar [2000 Onwards],Suraj Singh,Lok Jan Shakti Party,"11,81,597","6,32,330",53.50%,"76,227",12.10%,2004
Ballia,39,GEN,Uttar Pradesh [2000 Onwards],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),"14,30,300","6,19,531",43.30%,"81,054",13.10%,2004
Balrampur,28,GEN,Uttar Pradesh [2000 Onwards],Brij Bhushan Sharan Singh,Bharatiya Janta Party,"13,16,006","6,98,106",53.10%,"52,613",7.50%,2004
Balurghat,6,GEN,West Bengal,Ranen Barman,Revolutionary Socialist Party,"11,29,369","9,20,808",81.50%,"71,146",7.70%,2004
Banaskantha,14,GEN,Gujarat,Chavda Harisinhaji Pratapsinhaji,Indian National Congress,"13,11,847","6,42,570",49.00%,"6,928",1.10%,2004
Banda,55,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupt,Samajwadi Party,"12,83,915","5,26,286",41.00%,"56,304",10.70%,2004
Bangalore North,12,GEN,Karnataka,Dr. H.T. Sangliana,Bharatiya Janta Party,"21,33,579","11,57,337",54.20%,"30,358",2.60%,2004
Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,"16,20,352","8,00,632",49.40%,"62,271",7.80%,2004
Banka,26,GEN,Bihar [2000 Onwards],Giridhari Yadav,Rashtriya Janata Dal,"12,13,614","7,13,888",58.80%,"4,669",0.70%,2004
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),"10,20,046","6,91,958",67.80%,"2,30,329",33.30%,2004
Bansgaon,33,GEN,Uttar Pradesh [2000 Onwards],Mahaveer Prasad,Indian National Congress,"14,41,224","6,32,098",43.90%,"16,441",2.60%,2004
Banswara,16,GEN,Rajasthan,Dhan Singh Rawat,Bharatiya Janta Party,"13,73,808","6,65,376",48.40%,"21,683",3.30%,2004
Bapatla,16,GEN,Andhra Pradesh,Daggubati Purandareswari,Indian National Congress,"9,48,929","7,33,677",77.30%,"94,082",12.80%,2004
Bara Banki,25,GEN,Uttar Pradesh [2000 Onwards],Kamla Prasad,Bahujan Samaj Party,"12,14,993","5,40,219",44.50%,"20,922",3.90%,2004
Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,"18,46,635","8,92,726",48.30%,"4,22,975",47.40%,2004
Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,"9,40,998","3,34,122",35.50%,"9,895",3.00%,2004
Barasat,13,SC,West Bengal,Subrata Bose,All India Forward Bloc,"13,88,017","11,48,662",82.80%,"12,160",1.10%,2004
Bareilly,8,GEN,Uttar Pradesh [2000 Onwards],Santosh Gangwar,Bharatiya Janta Party,"15,56,024","8,22,839",52.90%,"59,644",7.20%,2004
Barh,18,GEN,Bihar [2000 Onwards],Vijay Krishna,Rashtriya Janata Dal,"12,42,851","8,64,069",69.50%,"37,688",4.40%,2004
Barmer,23,GEN,Rajasthan,Manvendra Singh,Bharatiya Janta Party,"16,39,188","10,46,857",63.90%,"2,71,888",26.00%,2004
Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,"16,56,867","6,51,977",39.40%,"6,603",1.00%,2004
Barpeta,6,GEN,Assam,A. F. Golam Osmani,Indian National Congress,"10,75,749","7,62,614",70.90%,"68,125",8.90%,2004
Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),"9,81,008","7,92,471",80.80%,"1,65,071",20.80%,2004
Basirhat,14,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,"11,07,129","9,06,003",81.80%,"1,82,084",20.10%,2004
Bastar,9,GEN,Chhattisgarh,Baliram Kashyap,Bharatiya Janta Party,"10,39,442","4,50,417",43.30%,"54,373",12.10%,2004
Basti,30,GEN,Uttar Pradesh [2000 Onwards],Lal Mani Prasad,Bahujan Samaj Party,"14,16,526","5,76,389",40.70%,"25,374",4.40%,2004
Bayana,10,SC,Rajasthan,Ramswaroop Koli,Bharatiya Janta Party,"11,97,119","4,89,456",40.90%,"59,624",12.20%,2004
Beed,34,GEN,Maharashtra,Jaisingrao Gaikwad Patil,Nationalist Congress Party,"13,19,891","8,82,532",66.90%,"47,412",5.40%,2004
Begusarai,30,GEN,Bihar [2000 Onwards],Rajiv Ranjan Singh,Janata Dal (United),"12,80,963","6,78,647",53.00%,"20,491",3.00%,2004
Belgaum,25,GEN,Karnataka,Angadi Suresh Chanabasappa,Bharatiya Janta Party,"13,54,182","8,92,332",65.90%,"84,753",9.50%,2004
Bellary,5,SC,Karnataka,G. Karunakara Reddy,Bharatiya Janta Party,"14,23,161","9,49,652",66.70%,"31,679",3.30%,2004
Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,"12,20,502","9,87,380",80.90%,"98,901",10.00%,2004
Berhampur,11,GEN,Orissa,Chandra Sekhar Sahu,Indian National Congress,"11,95,391","7,19,853",60.20%,"51,657",7.20%,2004
Bettiah,2,GEN,Bihar [2000 Onwards],Raghunath Jha,Rashtriya Janata Dal,"12,78,163","5,69,868",44.60%,"24,671",4.30%,2004
Betul,17,GEN,Madhya Pradesh [2000 Onwards],Khandelwal Vijay Kumar (MUNNI BHAIA),Bharatiya Janta Party,"11,22,830","5,47,321",48.70%,"1,57,540",28.80%,2004
Bhadrachalam,5,ST,Andhra Pradesh,Midiyam Babu Rao,Communist Party Of India (MARXIST),"11,93,297","8,22,860",69.00%,"53,806",6.50%,2004
Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,"13,50,755","9,31,990",69.00%,"94,769",10.20%,2004
Bhagalpur,27,GEN,Bihar [2000 Onwards],Sushil Kumar Modi,Bharatiya Janta Party,"13,88,037","7,57,266",54.60%,"1,17,853",15.60%,2004
Bhandara,24,GEN,Maharashtra,Patle Shishupal Natthu,Bharatiya Janta Party,"10,06,061","6,79,727",67.60%,"3,009",0.40%,2004
Bharatpur,9,SC,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,"11,89,295","5,75,896",48.40%,"1,11,349",19.30%,2004
Bhatinda,11,GEN,Punjab,Paramjit Kaur Gulshan,Shiromani Akali Dal,"12,85,978","7,63,164",59.40%,"62,642",8.20%,2004
Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanashyamsinh (RAJUBHAI RANA),Bharatiya Janta Party,"12,36,416","4,44,803",36.00%,"80,426",18.10%,2004
Bhilwara,20,ST,Rajasthan,Vijayendrapal Singh,Bharatiya Janta Party,"12,33,703","6,18,965",50.20%,"60,652",9.80%,2004
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Dr. Ramlakhan Singh,Bharatiya Janta Party,"13,88,299","6,06,013",43.70%,"6,946",1.10%,2004
Bhiwani,8,GEN,Haryana,Kuldeep Bishnoi,Indian National Congress,"11,92,271","8,70,670",73.00%,"24,404",2.80%,2004
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Kailash Joshi,Bharatiya Janta Party,"18,47,544","8,57,893",46.40%,"3,06,005",35.70%,2004
Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"14,91,536","8,53,667",57.20%,"1,12,279",13.20%,2004
Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,"13,72,985","8,14,933",59.40%,"23,621",2.90%,2004
Bijapur,28,SC,Karnataka,Basanagouda R Patil(YATNAL),Bharatiya Janta Party,"13,28,325","7,88,537",59.40%,"37,533",4.80%,2004
Bijnor,1,GEN,Uttar Pradesh [2000 Onwards],Munshiram S/o Sri Ramcharan Singh,Rashtriya Lok Dal,"13,55,437","7,05,729",52.10%,"80,175",11.40%,2004
Bikaner,2,SC,Rajasthan,Dharmendra,Bharatiya Janta Party,"19,00,686","10,75,059",56.60%,"57,175",5.30%,2004
Bikramganj,36,GEN,Bihar [2000 Onwards],Ajit Kumar Singh,Janata Dal (United),"12,98,849","7,33,925",56.50%,"58,801",8.00%,2004
Bilaspur,4,GEN,Chhattisgarh,Punnulal Mohle,Bharatiya Janta Party,"14,11,786","6,21,304",44.00%,"81,553",13.10%,2004
Bilhaur,60,GEN,Uttar Pradesh [2000 Onwards],Raja Ram Pal,Bahujan Samaj Party,"13,69,589","6,41,369",46.80%,"24,402",3.80%,2004
Birbhum,42,GEN,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),"10,29,870","7,21,560",70.10%,"1,91,612",26.60%,2004
Bobbili,3,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,"9,76,012","7,45,517",76.40%,"31,348",4.20%,2004
Bolangir,16,SC,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"10,99,775","7,28,372",66.20%,"1,00,682",13.80%,2004
Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"10,35,012","7,67,695",74.20%,"3,10,305",40.40%,2004
Broach,23,ST,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,"12,39,670","6,80,519",54.90%,"72,202",10.60%,2004
Budaun,6,GEN,Uttar Pradesh [2000 Onwards],Saleem Iqbal Shervani,Samajwadi Party,"12,00,435","5,90,006",49.20%,"51,322",8.70%,2004
Bulandshahr,74,SC,Uttar Pradesh [2000 Onwards],Kalyan Singh,Bharatiya Janta Party,"12,26,141","6,85,228",55.90%,"16,651",2.40%,2004
Buldhana,18,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"11,96,627","7,60,202",63.50%,"59,907",7.90%,2004
Bulsar,26,ST,Gujarat,Kishanbhai Vestabhai Patel,Indian National Congress,"13,19,778","6,89,966",52.30%,"44,486",6.40%,2004
Burdwan,39,GEN,West Bengal,Nikhilananda Sar,Communist Party Of India (MARXIST),"12,21,820","9,94,003",81.40%,"4,71,351",47.40%,2004
Buxar,34,SC,Bihar [2000 Onwards],Lalmuni Chaubey,Bharatiya Janta Party,"12,22,441","6,49,116",53.10%,"54,866",8.50%,2004
Calcutta North East,22,GEN,West Bengal,Md. Salim,Communist Party Of India (MARXIST),"8,03,853","5,67,774",70.60%,"73,780",13.00%,2004
Calcutta North West,21,GEN,West Bengal,Sudhangshu Seal,Communist Party Of India (MARXIST),"6,09,204","3,59,642",59.00%,"43,004",12.00%,2004
Calcutta South,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"10,96,709","7,70,828",70.30%,"98,429",12.80%,2004
Calicut,4,GEN,Kerala,M. P. Veerendra Kumar,Janata Dal (Secular),"11,10,149","7,79,220",70.20%,"65,326",8.40%,2004
Cannanore,2,GEN,Kerala,A. P. Abdullakutty,Communist Party Of India (MARXIST),"10,88,892","8,58,386",78.80%,"83,849",9.80%,2004
Chail,53,SC,Uttar Pradesh [2000 Onwards],Shailendra Kumar,Samajwadi Party,"14,84,115","5,55,332",37.40%,630,0.10%,2004
Chamarajanagar,15,GEN,Karnataka,M. Shivanna,Janata Dal (Secular),"11,89,973","8,52,745",71.70%,"43,989",5.20%,2004
Chandauli,47,GEN,Uttar Pradesh [2000 Onwards],Kailash Nath Singh Yadav,Bahujan Samaj Party,"15,80,853","7,04,386",44.60%,"1,669",0.20%,2004
Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,27,684","2,69,818",51.10%,"45,248",16.80%,2004
Chandni Chowk,5,SC,Delhi [1977 Onwards],Kapil Sibal,Indian National Congress,"3,37,462","1,79,003",53.00%,"79,415",44.40%,2004
Chandrapur,26,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,"13,29,746","8,40,271",63.20%,"59,823",7.10%,2004
Chapra,7,GEN,Bihar [2000 Onwards],Lalu Prasad,Rashtriya Janata Dal,"11,64,917","4,46,031",38.30%,"60,423",13.50%,2004
Chatra,4,GEN,Jharkhand,Dhirendra Agarwal,Rashtriya Janata Dal,"9,78,364","4,35,488",44.50%,"18,855",4.30%,2004
Chengalpattu,5,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,"11,67,736","7,57,406",64.90%,"1,48,724",19.60%,2004
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"11,45,107","7,52,439",65.70%,"63,708",8.50%,2004
Chhota Udaipur,21,ST,Gujarat,Naranbhai Rathwa,Indian National Congress,"10,65,416","5,56,493",52.20%,"36,239",6.50%,2004
Chidambaram,12,GEN,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,"11,25,487","7,41,925",65.90%,"87,651",11.80%,2004
Chikballapur,9,ST,Karnataka,R.L. Jalappa,Indian National Congress,"13,14,311","9,29,379",70.70%,"60,022",6.50%,2004
Chikkodi,26,GEN,Karnataka,Jigajinagi Ramesh Chandappa,Bharatiya Janta Party,"11,84,275","8,36,452",70.60%,"43,492",5.20%,2004
Chikmagalur,20,GEN,Karnataka,D. C. Srikantappa,Bharatiya Janta Party,"11,21,327","8,17,048",72.90%,"73,672",9.00%,2004
Chimur,25,GEN,Maharashtra,Shivankar Mahadeorao Sukaji,Bharatiya Janta Party,"11,13,832","7,74,672",69.60%,"98,774",12.80%,2004
Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),"10,20,604","6,68,280",65.50%,"50,745",7.60%,2004
Chitradurga,7,GEN,Karnataka,N.Y. Hanumanthappa,Indian National Congress,"13,16,427","9,17,046",69.70%,"37,460",4.10%,2004
Chittoor,21,GEN,Andhra Pradesh,D.K. Audikesavulu,Telugu Desam,"11,70,325","8,74,425",74.70%,"62,138",7.10%,2004
Chittorgarh,19,ST,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,"13,85,950","6,70,995",48.40%,"1,35,770",20.20%,2004
Churu,3,GEN,Rajasthan,Ramsingh Kaswan,Bharatiya Janta Party,"13,71,821","8,32,555",60.70%,"29,854",3.60%,2004
Coimbatore,20,GEN,Tamil Nadu,"Subbarayan, K.",Communist Party Of India,"15,84,223","8,77,688",55.40%,"1,64,505",18.70%,2004
Contai,31,GEN,West Bengal,Prasanta Pradhan,Communist Party Of India (MARXIST),"10,81,102","9,21,634",85.30%,"59,190",6.40%,2004
Cooch Behar,1,SC,West Bengal,Hiten Barman,All India Forward Bloc,"11,48,934","9,47,381",82.50%,"2,26,569",23.90%,2004
Cuddalore,11,GEN,Tamil Nadu,Venkatapathy. K,Dravida Munetra Kazhagam,"12,06,876","7,58,178",62.80%,"1,31,352",17.30%,2004
Cuddapah,23,GEN,Andhra Pradesh,Y.S. Vivekananda Reddy,Indian National Congress,"11,43,505","8,14,047",71.20%,"1,31,674",16.20%,2004
Cuttack,6,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,36,228","8,20,082",66.30%,"1,73,198",21.10%,2004
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Bharatiya Navshakti Party,"1,22,681","84,699",69.00%,"12,893",15.20%,2004
Dahanu,11,GEN,Maharashtra,Shingada Damodar Barku,Indian National Congress,"16,05,119","6,83,263",42.60%,"63,363",9.30%,2004
Dahod,17,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,"12,12,453","5,17,809",42.70%,361,0.10%,2004
Daman And Diu,1,GEN,Daman & Diu,Patel Dahyabhai Vallabhbhai,Indian National Congress,"79,232","55,590",70.20%,607,1.10%,2004
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Chandrabhan Bhaiya,Bharatiya Janta Party,"13,98,539","5,91,038",42.30%,"94,595",16.00%,2004
Darbhanga,15,GEN,Bihar [2000 Onwards],Md. Ali Ashraf Fatmi,Rashtriya Janata Dal,"12,02,456","7,64,102",63.60%,"1,43,463",18.80%,2004
Darjeeling,4,GEN,West Bengal,Dawa Narbula,Indian National Congress,"12,49,238","8,86,298",71.00%,"1,01,416",11.40%,2004
Dausa,7,GEN,Rajasthan,Sachin Pilot,Indian National Congress,"14,62,752","7,15,613",48.90%,"1,14,865",16.10%,2004
Davangere,6,ST,Karnataka,G.M. Siddeswara,Bharatiya Janta Party,"13,32,608","9,08,840",68.20%,"32,676",3.60%,2004
Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,"4,71,813","2,71,552",57.60%,"15,974",5.90%,2004
Deogarh,18,GEN,Orissa,Dharmendra Pradhan,Bharatiya Janta Party,"12,19,887","8,23,184",67.50%,"79,096",9.60%,2004
Deoria,37,GEN,Uttar Pradesh [2000 Onwards],Mohan Singh,Samajwadi Party,"15,69,719","7,30,406",46.50%,"52,226",7.20%,2004
Dhanbad,7,GEN,Jharkhand,Chandra Shekhar Dubey,Indian National Congress,"17,49,456","9,41,715",53.80%,"1,19,378",12.70%,2004
Dhandhuka,9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,"11,56,178","5,16,531",44.70%,"22,794",4.40%,2004
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Chhatar Singh Darbar,Bharatiya Janta Party,"13,25,680","7,02,989",53.00%,"32,611",4.60%,2004
Dharmapuri,13,SC,Tamil Nadu,"Senthil, Dr. R.",Pattali Makkal Katchi,"12,95,521","7,07,804",54.60%,"2,16,090",30.50%,2004
Dharwad North,24,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"12,50,578","8,09,816",64.80%,"83,078",10.30%,2004
Dharwad South,23,GEN,Karnataka,Kunnur Manjunath Channappa,Bharatiya Janta Party,"12,04,353","8,65,016",71.80%,"1,45,112",16.80%,2004
Dhenkanal,19,GEN,Orissa,Tathagata Satapathy,Biju Janata Dal,"11,74,787","7,90,179",67.30%,"1,22,882",15.60%,2004
Dhubri,4,GEN,Assam,Anwar Hussain,Indian National Congress,"11,49,939","8,63,463",75.10%,"1,16,622",13.50%,2004
Dhule,14,GEN,Maharashtra,Chaurey Bapu Hari,Indian National Congress,"12,26,114","4,55,308",37.10%,"7,765",1.70%,2004
Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),"11,02,946","8,35,475",75.80%,"1,53,784",18.40%,2004
Dibrugarh,13,GEN,Assam,Sarbananda Sonowal,Asom Gana Parisad,"9,69,905","6,31,416",65.10%,"18,554",2.90%,2004
Dindigul,23,GEN,Tamil Nadu,"Chitthan, N. S. V.",Indian National Congress,"11,37,313","6,88,646",60.60%,"1,55,171",22.50%,2004
Domariaganj,31,SC,Uttar Pradesh [2000 Onwards],Mohd. Muqueem,Bahujan Samaj Party,"13,50,045","6,43,127",47.60%,"52,902",8.20%,2004
Dum Dum,20,SC,West Bengal,Amitava Nandy,Communist Party Of India (MARXIST),"15,43,705","12,45,065",80.70%,"98,252",7.90%,2004
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"10,83,200","6,25,043",57.70%,"1,15,015",18.40%,2004
Durg,10,ST,Chhattisgarh,Tarachand Sahu,Bharatiya Janta Party,"14,62,883","7,61,323",52.00%,"61,468",8.10%,2004
Durgapur,37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),"11,50,939","8,44,777",73.40%,"2,77,508",32.80%,2004
East Delhi,4,GEN,Delhi [1977 Onwards],Sandeep Dikshit,Indian National Congress,"26,06,589","11,90,884",45.70%,"2,29,779",19.30%,2004
Eluru,11,GEN,Andhra Pradesh,Kavuru Samba Siva Rao,Indian National Congress,"11,51,672","8,94,854",77.70%,"1,23,291",13.80%,2004
Erandol,16,GEN,Maharashtra,Annasaheb M. K. Patil,Bharatiya Janta Party,"12,14,861","6,09,392",50.20%,"8,141",1.30%,2004
Ernakulam,11,GEN,Kerala,Dr. Sebastian Paul,Independent,"10,69,131","6,57,891",61.50%,"70,099",10.70%,2004
Etah,67,SC,Uttar Pradesh [2000 Onwards],Ku. Devendra Singh Yadav,Samajwadi Party,"11,28,519","5,87,065",52.00%,"51,335",8.70%,2004
Etawah,62,GEN,Uttar Pradesh [2000 Onwards],Raghuraj Singh Shakya,Samajwadi Party,"12,64,620","7,03,901",55.70%,"1,90,157",27.00%,2004
Faizabad,24,GEN,Uttar Pradesh [2000 Onwards],Mitrasen,Bahujan Samaj Party,"13,26,533","6,86,478",51.80%,"33,486",4.90%,2004
Faridabad,6,GEN,Haryana,Avtar Singh Bhadana,Indian National Congress,"15,46,578","8,44,647",54.60%,"1,51,929",18.00%,2004
Faridkot,12,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,"12,62,934","8,93,428",70.70%,"1,35,279",15.10%,2004
